tx_id,gene_id
ENST00000570121,ENSG00000270467
ENST00000562905,ENSG00000271178
ENST00000464162,ENSG00000239855
ENST00000390247,ENSG00000243063
ENST00000495489,ENSG00000240671
ENST00000493819,ENSG00000241755
ENST00000483158,ENSG00000241351
ENST00000480492,ENSG00000243290
ENST00000390252,ENSG00000244437
ENST00000479981,ENSG00000240864
ENST00000490686,ENSG00000240382
ENST00000492167,ENSG00000239951
ENST00000390256,ENSG00000211611
ENST00000484817,ENSG00000241294
ENST00000498435,ENSG00000244575
ENST00000482769,ENSG00000244116
ENST00000468494,ENSG00000243238
ENST00000473726,ENSG00000242076
ENST00000465170,ENSG00000239862
ENST00000498574,ENSG00000242371
ENST00000620613,ENSG00000273962
ENST00000429992,ENSG00000251039
ENST00000448155,ENSG00000251546
ENST00000509129,ENSG00000250036
ENST00000390265,ENSG00000239975
ENST00000474213,ENSG00000239571
ENST00000491977,ENSG00000243264
ENST00000453166,ENSG00000242534
ENST00000390268,ENSG00000211623
ENST00000462693,ENSG00000241566
ENST00000436451,ENSG00000225523
ENST00000390270,ENSG00000211625
ENST00000390271,ENSG00000211626
ENST00000483379,ENSG00000242766
ENST00000492446,ENSG00000241244
ENST00000417279,ENSG00000224041
ENST00000611391,ENSG00000276566
ENST00000377032,ENSG00000278857
ENST00000390277,ENSG00000211632
ENST00000390278,ENSG00000211633
ENST00000468879,ENSG00000242580
ENST00000471857,ENSG00000239819
ENST00000443397,ENSG00000228325
ENST00000390473,ENSG00000211825
ENST00000390484,ENSG00000211836
ENST00000390488,ENSG00000211840
ENST00000390476,ENSG00000211828
ENST00000390489,ENSG00000211841
ENST00000390480,ENSG00000211832
ENST00000390479,ENSG00000211831
ENST00000390481,ENSG00000211833
ENST00000390474,ENSG00000211826
ENST00000390490,ENSG00000211842
ENST00000390475,ENSG00000211827
ENST00000390483,ENSG00000211835
ENST00000390485,ENSG00000211837
ENST00000390492,ENSG00000211844
ENST00000390486,ENSG00000211838
ENST00000390482,ENSG00000211834
ENST00000390487,ENSG00000211839
ENST00000390491,ENSG00000211843
ENST00000390493,ENSG00000211845
ENST00000390494,ENSG00000211846
ENST00000390495,ENSG00000211847
ENST00000390496,ENSG00000211848
ENST00000390497,ENSG00000211849
ENST00000390498,ENSG00000211850
ENST00000612375,ENSG00000278661
ENST00000614481,ENSG00000276699
ENST00000390502,ENSG00000211854
ENST00000390503,ENSG00000211855
ENST00000390504,ENSG00000211856
ENST00000390505,ENSG00000211857
ENST00000390506,ENSG00000211858
ENST00000390507,ENSG00000211859
ENST00000390508,ENSG00000211860
ENST00000390509,ENSG00000211861
ENST00000390510,ENSG00000211862
ENST00000390511,ENSG00000211863
ENST00000390512,ENSG00000211864
ENST00000390513,ENSG00000211865
ENST00000390514,ENSG00000211866
ENST00000390515,ENSG00000211867
ENST00000390516,ENSG00000211868
ENST00000390517,ENSG00000211869
ENST00000390518,ENSG00000211870
ENST00000390519,ENSG00000211871
ENST00000390520,ENSG00000211872
ENST00000390521,ENSG00000211873
ENST00000390523,ENSG00000211875
ENST00000390524,ENSG00000211876
ENST00000390525,ENSG00000211877
ENST00000390526,ENSG00000211878
ENST00000390527,ENSG00000211879
ENST00000390528,ENSG00000211880
ENST00000390530,ENSG00000211882
ENST00000390531,ENSG00000211883
ENST00000390532,ENSG00000211884
ENST00000390533,ENSG00000211885
ENST00000390534,ENSG00000211886
ENST00000390535,ENSG00000211887
ENST00000390536,ENSG00000211888
ENST00000390499,ENSG00000211851
ENST00000633209,ENSG00000282589
ENST00000632228,ENSG00000281957
ENST00000633507,ENSG00000282215
ENST00000631600,ENSG00000282488
ENST00000633891,ENSG00000282273
ENST00000633188,ENSG00000282272
ENST00000632996,ENSG00000282154
ENST00000633660,ENSG00000282392
ENST00000633936,ENSG00000282500
ENST00000634213,ENSG00000282078
ENST00000631840,ENSG00000282371
ENST00000634149,ENSG00000282820
ENST00000631745,ENSG00000281989
ENST00000633836,ENSG00000282380
ENST00000632951,ENSG00000282320
ENST00000633553,ENSG00000282420
ENST00000633780,ENSG00000282133
ENST00000632041,ENSG00000281958
ENST00000634000,ENSG00000282173
ENST00000633713,ENSG00000282780
ENST00000390412,ENSG00000211764
ENST00000390413,ENSG00000211765
ENST00000390414,ENSG00000211766
ENST00000390415,ENSG00000211767
ENST00000390416,ENSG00000211768
ENST00000390417,ENSG00000211769
ENST00000390418,ENSG00000211770
ENST00000390419,ENSG00000211771
ENST00000390333,ENSG00000211687
ENST00000390334,ENSG00000211688
ENST00000390337,ENSG00000211690
ENST00000390338,ENSG00000211691
ENST00000390339,ENSG00000211692
ENST00000361390,ENSG00000198888
ENST00000361453,ENSG00000198763
ENST00000361624,ENSG00000198804
ENST00000361739,ENSG00000198712
ENST00000361851,ENSG00000228253
ENST00000361899,ENSG00000198899
ENST00000362079,ENSG00000198938
ENST00000361227,ENSG00000198840
ENST00000361335,ENSG00000212907
ENST00000361381,ENSG00000198886
ENST00000361567,ENSG00000198786
ENST00000361681,ENSG00000198695
ENST00000361789,ENSG00000198727
ENST00000618686,ENSG00000278704
ENST00000616049,ENSG00000277630
