"","ENSEMBL","ENTREZID","SYMBOL"
"197","ENSG00000138792","2028","ENPEP"
"198","ENSG00000138829","2201","FBN2"
"199","ENSG00000139219","1280","COL2A1"
"200","ENSG00000139269","83729","INHBE"
"201","ENSG00000139970","6252","RTN1"
"202","ENSG00000140022","85439","STON2"
"203","ENSG00000140839","497190","CLEC18B"
"204","ENSG00000140839","124907806","LOC124907806"
"205","ENSG00000140839","128966624","LOC128966624"
"206","ENSG00000141068","8844","KSR1"
"207","ENSG00000141314","162494","RHBDL3"
"208","ENSG00000141401","3613","IMPA2"
"209","ENSG00000141576","114804","RNF157"
"210","ENSG00000141858","90378","SAMD1"
"211","ENSG00000142609","85452","CFAP74"
"212","ENSG00000142765","84958","SYTL1"
"213","ENSG00000142871","3491","CCN1"
"214","ENSG00000142945","11004","KIF2C"
"215","ENSG00000143036","126969","SLC44A3"
"216","ENSG00000143217","81607","NECTIN4"
"217","ENSG00000143365","6097","RORC"
"218","ENSG00000143476","51514","DTL"
"219","ENSG00000144010","653192","TRIM43B"
"220","ENSG00000144152","129804","FBLN7"
"221","ENSG00000144227","11249","NXPH2"
"222","ENSG00000145287","51316","PLAC8"
"223","ENSG00000145386","890","CCNA2"
"224","ENSG00000146278","10957","PNRC1"
"225","ENSG00000146411","154091","SLC2A12"
"226","ENSG00000146950","357","SHROOM2"
"227","ENSG00000147041","94122","SYTL5"
"228","ENSG00000147138","84636","GPR174"
"229","ENSG00000147408","55790","CSGALNACT1"
"230","ENSG00000147509","8601","RGS20"
"231","ENSG00000147606","115111","SLC26A7"
"232","ENSG00000147655","340419","RSPO2"
"233","ENSG00000147676","114569","MAL2"
"234","ENSG00000147889","1029","CDKN2A"
"235","ENSG00000149634","128497","SPATA25"
"236","ENSG00000149970","22866","CNKSR2"
"237","ENSG00000150510","220108","FAM124A"
"238","ENSG00000152402","2977","GUCY1A2"
"239","ENSG00000152804","3087","HHEX"
"240","ENSG00000153208","10461","MERTK"
"241","ENSG00000156050","145483","FAM161B"
"242","ENSG00000156802","29028","ATAD2"
"243","ENSG00000157168","3084","NRG1"
"244","ENSG00000157404","3815","KIT"
"245","ENSG00000157873","8764","TNFRSF14"
"246","ENSG00000158089","79623","GALNT14"
"247","ENSG00000158258","64084","CLSTN2"
"248","ENSG00000159259","8208","CHAF1B"
"249","ENSG00000159388","7832","BTG2"
"250","ENSG00000160973","8928","FOXH1"
"251","ENSG00000161267","622","BDH1"
"252","ENSG00000161896","117283","IP6K3"
"253","ENSG00000161939","100529209","RNASEK-C17orf49"
"254","ENSG00000162073","124222","PAQR4"
"255","ENSG00000162511","7805","LAPTM5"
"256","ENSG00000162520","81493","SYNC"
"257","ENSG00000162607","7398","USP1"
"258","ENSG00000162654","115361","GBP4"
"259","ENSG00000162692","7412","VCAM1"
"260","ENSG00000162896","5284","PIGR"
"261","ENSG00000162975","3754","KCNF1"
"262","ENSG00000162981","151354","LRATD1"
"263","ENSG00000163235","7039","TGFA"
"264","ENSG00000163347","9076","CLDN1"
"265","ENSG00000163362","55765","INAVA"
"266","ENSG00000163394","886","CCKAR"
"267","ENSG00000163395","91156","IGFN1"
"268","ENSG00000163435","1999","ELF3"
"269","ENSG00000163531","23114","NFASC"
"270","ENSG00000163586","2168","FABP1"
"271","ENSG00000163918","5984","RFC4"
"272","ENSG00000163935","51460","SFMBT1"
"273","ENSG00000164045","993","CDC25A"
"274","ENSG00000164112","132332","SMIM43"
"275","ENSG00000164220","2151","F2RL2"
"276","ENSG00000164331","57763","ANKRA2"
"277","ENSG00000164342","7098","TLR3"
"278","ENSG00000164463","153222","CREBRF"
"279","ENSG00000164626","8645","KCNK5"
"280","ENSG00000164649","55536","CDCA7L"
"281","ENSG00000164692","1278","COL1A2"
"282","ENSG00000164938","94241","TP53INP1"
"283","ENSG00000165061","79698","ZMAT4"
"284","ENSG00000165244","195828","ZNF367"
"285","ENSG00000165272","360","AQP3"
"286","ENSG00000165449","220963","SLC16A9"
"287","ENSG00000165507","11067","DEPP1"
"288","ENSG00000165730","219736","STOX1"
"289","ENSG00000165757","57608","JCAD"
"290","ENSG00000165861","53349","ZFYVE1"
"291","ENSG00000166002","56935","SMCO4"
"292","ENSG00000166046","255394","TCP11L2"
"293","ENSG00000166250","79827","CLMP"
"294","ENSG00000166257","55800","SCN3B"
"295","ENSG00000166289","79156","PLEKHF1"
"296","ENSG00000166405","79608","RIC3"
"297","ENSG00000166432","84460","ZMAT1"
