"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000204428",82.8210043806311,-1.01437387121074,0.693194071558609,-1.46333315997637,0.143376238362662,0.322161019344415
"ENSG00000204434",13.9640346130668,-2.10767488592554,2.04473436295582,-1.03078176026676,0.302643173533504,NA
"ENSG00000204435",90.5191474237376,0.26594593906165,0.604529772606704,0.439921987489389,0.659993610393586,0.821968549702396
"ENSG00000204438",153.770825825404,0.579527086376111,0.456820157284043,1.26861102150484,0.204579831435025,0.408662919440613
"ENSG00000204439",976.433220465759,-0.400734104620765,0.293148201497519,-1.36700175056048,0.171624756808799,0.363742021893276
"ENSG00000204442",663.382702057332,-0.793631644157037,0.204300443706413,-3.88463005639632,0.00010248582048285,0.000897047049509769
"ENSG00000204449",187.033763733959,6.14085112145137,1.5042326972786,4.08238109207517,4.45766209983181e-05,0.000432812320120422
"ENSG00000204455",89.7071593671435,0.0102885569928652,1.42637528856649,0.00721307854625357,0.99424484589747,0.997304138850378
"ENSG00000204463",11008.0993186939,0.0834179011959732,0.0755659574314423,1.10390847984232,0.269632840041137,0.489692895742176
"ENSG00000204469",25056.5888494035,-0.043393623165458,0.0730028715448922,-0.59440981220545,0.552238047255621,0.750916542814305
"ENSG00000204478",17.9394254394875,-0.925350288392841,2.38441116410032,-0.388083356731804,0.697954348044462,NA
"ENSG00000204481",13.0167765321336,2.97307826125403,2.2220497236258,1.33798907812142,0.180899997150418,NA
"ENSG00000204498",823.072454755386,-0.0988452711562979,0.204977925076491,-0.482223981530753,0.629646842559471,0.804071252936071
"ENSG00000204501",52.3724328698948,2.4137439232371,1.91735508196267,1.25889249515865,0.208069164922594,0.413228271594523
"ENSG00000204510",68.0751899832296,2.24480559725625,1.73689782586289,1.29242236580095,0.196210915348288,0.397116110676911
"ENSG00000204511",2.89918284112462,3.69890366359201,3.8192651451849,0.968485696327044,0.332801859171493,NA
"ENSG00000204514",2844.89468413943,-0.146767580258698,0.104180702440037,-1.40877894678405,0.158900542311498,0.346043300687672
"ENSG00000204519",1494.17842420893,-0.305264739072532,0.184771446916411,-1.65212073708894,0.0985099403699038,0.246841356805254
"ENSG00000204520",5.22823731801185,-0.669540898476714,2.39718383404962,-0.279303109326264,0.780012220307552,NA
"ENSG00000204524",2040.69406606565,0.117624440600053,0.120566574041735,0.975597436809777,0.329263995242663,0.554315082072542
"ENSG00000204525",17347.2460722963,0.0198816081446258,0.0656074577338968,0.303038843926333,0.76186025935904,0.883123347165546
"ENSG00000204531",314.990118703792,0.340710200065517,0.299279493066318,1.13843483419032,0.25493895540977,0.473496338530537
"ENSG00000204532",9.54784685387558,1.84280737526492,2.47288071736047,0.745206738977655,0.456146749578739,NA
"ENSG00000204536",1973.27060909114,-0.328844852733273,0.120454597175031,-2.73003156745802,0.00633282611967498,0.0296576167866051
"ENSG00000204539",4.06287384589949,-2.83187688547319,4.15804798487239,-0.681059212345791,0.495834024274455,NA
"ENSG00000204540",33.0494695671731,1.57400211775956,1.08223702585858,1.45439684667122,0.145836313700946,0.326443452934532
"ENSG00000204542",1.56250964152224,5.21051612736188,6.75452388178074,0.771411311671639,0.440463172402686,NA
"ENSG00000204560",2582.73795623017,-0.103769335471779,0.13614853163469,-0.762177411874038,0.445954125571186,0.662784264375679
"ENSG00000204564",167.155133866758,0.177377818636284,0.554937332497791,0.319635764704999,0.749244459230087,0.876562003795447
"ENSG00000204568",4379.70717462709,-0.136622843199874,0.100056621807757,-1.36545528653139,0.172109997424887,0.364430488489603
"ENSG00000204569",4374.84606057028,0.543599769795675,0.115681564983629,4.69910456236138,2.61304650713683e-06,3.50403808174571e-05
"ENSG00000204571",36.2241289727322,0.384465737220263,0.839953306403355,0.457722749930623,0.647151641398654,0.814779900633644
"ENSG00000204572",5.33870337518866,1.91130341641071,2.5916708647448,0.737479223311375,0.460830973458061,NA
"ENSG00000204574",856.857423859216,-0.403026076329429,0.224395488291044,-1.79605249374131,0.0724861688176924,0.198681000057648
"ENSG00000204577",15.3353745518246,1.72821242895101,1.62028435981494,1.06661057269503,0.28614772423516,NA
"ENSG00000204580",388.783394511902,0.557727063378408,0.418976337876062,1.33116601812342,0.183134390139216,0.381002757381819
"ENSG00000204583",8.4806802429976,1.52829244508827,2.19904753704067,0.694979266862481,0.487068294895786,NA
"ENSG00000204590",593.103780924971,-0.433251109023048,0.371943418722493,-1.16483068986979,0.244087533480804,0.459785400033011
"ENSG00000204592",6.19199230485385,-10.2741214691588,6.81048884965924,-1.50857327512883,0.131407868021369,NA
"ENSG00000204599",634.211764600947,0.226251184359191,0.674482530507702,0.335444098439266,0.737290107172836,0.869742016353418
"ENSG00000204604",1433.19839596444,0.436684894435991,0.146036832259567,2.99023806309235,0.00278760097160245,0.0150795938273351
"ENSG00000204610",1.66984888842308,-8.27271593192692,5.94848364465439,-1.39072685176855,0.164308271863411,NA
"ENSG00000204611",778.530263818633,-0.0707399992895679,0.215258927082911,-0.328627482484483,0.742437272782104,0.873073167432824
"ENSG00000204618",13.9171531493833,-2.58539539687562,2.01743311573085,-1.28152719250819,0.200008554988075,NA
"ENSG00000204619",1035.84058372206,-0.10281011709137,0.280636134883637,-0.366346682810461,0.714106399276082,0.855807290844733
"ENSG00000204623",14.8494492777164,-0.179110154014307,1.32464206242612,-0.135214001649821,0.892442677043168,NA
"ENSG00000204624",85.1661536098445,-0.201419459012105,0.782216456413429,-0.257498365523581,0.796794076900824,0.902001365759367
"ENSG00000204628",76931.771742314,0.182470217982631,0.065229706222131,2.79734845595124,0.00515239315776327,0.025049177240769
"ENSG00000204634",1715.57211266109,0.171742194958956,0.160862085443628,1.06763625801147,0.285684621587279,0.507713512316917
"ENSG00000204642",2.40839968020701,0.0889078680213767,3.89837303991286,0.022806403366509,0.981804700206475,NA
"ENSG00000204650",119.950109555255,0.219774284376442,0.472598054688926,0.46503425521102,0.641906925857737,0.811775425321363
"ENSG00000204653",24.1362436107706,0.900637569234136,1.00022345480286,0.900436362404288,0.367888077095412,NA
"ENSG00000204655",3.43048748854481,-2.07624473371055,3.13338960360684,-0.662619398277376,0.50757434324281,NA
"ENSG00000204657",15.0648120691324,-1.20733668014354,1.3620716678163,-0.886397323041868,0.37540346122831,NA
"ENSG00000204673",4963.96894456945,-0.0561619685907084,0.0981029416256605,-0.572479965025007,0.566996855227305,0.760214720293179
"ENSG00000204681",466.944486773658,0.341915802649059,0.325641933729623,1.04997473369922,0.293729729448505,0.516642072235018
"ENSG00000204695",868.914280852706,0.24715577535501,0.217241652530874,1.13769975727783,0.255245874820011,0.473845032466144
"ENSG00000204711",14.9201790015408,0.00485820489797085,1.41906509732536,0.00342352504273945,0.997268427560787,NA
"ENSG00000204713",3068.08931227938,0.370501052346737,0.134806649521624,2.74838855250464,0.00598889908847121,0.0283053346517225
"ENSG00000204745",226.155967639293,0.324649187562494,0.34689525814536,0.935870929162298,0.349339646528225,0.574332836515485
"ENSG00000204764",526.393669245669,-0.586926724819227,0.237662300750844,-2.46958277760064,0.0135270718074259,0.0546151064173742
"ENSG00000204767",510.933048036487,1.11708806253253,0.231585183109714,4.8236594739453,1.40947974194085e-06,1.99967580872678e-05
"ENSG00000204778",42.4839999769883,-0.554504534405952,0.818797907858236,-0.677217820275571,0.498267762824696,0.708172520104018
"ENSG00000204779",146.907865442918,-0.201700772919767,0.421617779404882,-0.478397218458078,0.632367513003824,0.80592068377965
"ENSG00000204789",67.7545317425707,-0.273204394871872,0.825536305736129,-0.330941707800793,0.740688517086712,0.871875521852348
"ENSG00000204790",8.5931514143305,1.13606456202756,1.7782863381452,0.638853562364149,0.522918199947114,NA
"ENSG00000204791",8.78589413706567,-1.06403015405061,1.7215059764657,-0.618081010810713,0.53652193896437,NA
"ENSG00000204801",2.08354104089757,8.96288419369361,5.51753756303237,1.62443555504636,0.104282883973745,NA
"ENSG00000204815",520.518213863208,0.271671603777127,0.243334052670944,1.11645534521427,0.264227274404977,0.483519798888133
"ENSG00000204816",9.33711222400191,-5.42685524754001,6.14501767375586,-0.883130942115435,0.377165527938578,NA
"ENSG00000204822",2708.54352365337,0.0266566554493511,0.110684865974283,0.240833787119052,0.80968394186648,0.908624918016945
"ENSG00000204839",6.44354515244922,-7.33936327253161,6.92109175668174,-1.06043432605067,0.288947052837078,NA
"ENSG00000204842",5077.30254108917,0.159289850641274,0.105146118308244,1.51493800440929,0.129788104833253,0.300764974394296
"ENSG00000204843",8972.68733619593,0.0273441032725445,0.071369224437477,0.383135777193422,0.701619093517275,0.848780012761253
